,Filename,trustworthy,repeat
41,084650_0.40909090909090917.png,0.40909090909090917,0
96,006062_0.4797979797979799.png,0.4797979797979799,1
38,139558_0.1262626262626263.png,0.1262626262626263,0
90,080303_0.33838383838383845.png,0.33838383838383845,1
59,064390_0.3787878787878789.png,0.3787878787878789,0
98,186181_0.43939393939393945.png,0.43939393939393945,1
23,067113_0.015151515151515249.png,0.015151515151515249,0
14,121258_-0.398989898989899.png,-0.398989898989899,0
3,152768_0.4494949494949496.png,0.4494949494949496,0
61,050496_-0.4898989898989899.png,-0.4898989898989899,0
28,178658_0.4292929292929294.png,0.4292929292929294,0
92,093413_-0.3888888888888889.png,-0.3888888888888889,1
56,113061_-0.13636363636363635.png,-0.13636363636363635,0
57,201865_0.20707070707070718.png,0.20707070707070718,0
45,077214_-0.3787878787878788.png,-0.3787878787878788,0
36,037387_-0.015151515151515138.png,-0.015151515151515138,0
13,081495_-0.17676767676767674.png,-0.17676767676767674,0
87,067113_0.015151515151515249.png,0.015151515151515249,1
7,177845_0.4191919191919192.png,0.4191919191919192,0
89,110741_-0.23737373737373735.png,-0.23737373737373735,1
76,167120_0.14646464646464652.png,0.14646464646464652,0
66,151012_0.11616161616161624.png,0.11616161616161624,0
35,023665_0.005050505050505083.png,0.005050505050505083,0
75,093413_-0.3888888888888889.png,-0.3888888888888889,0
5,003820_0.2272727272727273.png,0.2272727272727273,0
31,097347_0.05555555555555558.png,0.05555555555555558,0
42,019861_0.38888888888888895.png,0.38888888888888895,0
65,122021_0.24747474747474751.png,0.24747474747474751,0
21,006062_0.4797979797979799.png,0.4797979797979799,0
78,092972_0.21717171717171724.png,0.21717171717171724,0
46,069574_0.3080808080808082.png,0.3080808080808082,0
86,190639_-0.21717171717171713.png,-0.21717171717171713,1
70,161186_-0.24747474747474746.png,-0.24747474747474746,0
49,037153_0.09595959595959602.png,0.09595959595959602,0
71,034808_-0.025252525252525193.png,-0.025252525252525193,0
64,080357_-0.055555555555555525.png,-0.055555555555555525,0
83,156901_-0.41919191919191917.png,-0.41919191919191917,1
8,174771_0.10606060606060608.png,0.10606060606060608,0
4,156901_-0.41919191919191917.png,-0.41919191919191917,0
68,041733_0.3989898989898991.png,0.3989898989898991,0
54,190655_0.025252525252525304.png,0.025252525252525304,0
32,003828_-0.10606060606060602.png,-0.10606060606060602,0
34,084706_-0.12626262626262624.png,-0.12626262626262624,0
81,152768_0.4494949494949496.png,0.4494949494949496,1
63,186181_0.43939393939393945.png,0.43939393939393945,0
47,140496_-0.06565656565656564.png,-0.06565656565656564,0
52,141797_-0.045454545454545414.png,-0.045454545454545414,0
9,153739_0.3585858585858587.png,0.3585858585858587,0
40,195445_0.297979797979798.png,0.297979797979798,0
97,130683_-0.19696969696969696.png,-0.19696969696969696,1
79,115024_-0.33838383838383834.png,-0.33838383838383834,0
26,152726_0.2777777777777778.png,0.2777777777777778,0
67,097133_0.03535353535353536.png,0.03535353535353536,0
69,173471_0.045454545454545525.png,0.045454545454545525,0
93,145045_-0.07575757575757575.png,-0.07575757575757575,1
55,113221_-0.3484848484848485.png,-0.3484848484848485,0
33,190639_-0.21717171717171713.png,-0.21717171717171713,0
24,176556_-0.35858585858585856.png,-0.35858585858585856,0
80,087975_-0.29797979797979796.png,-0.29797979797979796,1
58,110741_-0.23737373737373735.png,-0.23737373737373735,0
2,145045_-0.07575757575757575.png,-0.07575757575757575,0
51,049568_-0.4595959595959596.png,-0.4595959595959596,0
10,103215_-0.4292929292929293.png,-0.4292929292929293,0
12,130683_-0.19696969696969696.png,-0.19696969696969696,0
25,020995_-0.09595959595959591.png,-0.09595959595959591,0
17,021469_-0.2676767676767676.png,-0.2676767676767676,0
29,065364_0.23737373737373746.png,0.23737373737373746,0
11,069583_0.16666666666666674.png,0.16666666666666674,0
1,015763_0.18686868686868696.png,0.18686868686868696,0
95,062124_-0.25757575757575757.png,-0.25757575757575757,1
72,065004_0.5.png,0.5,0
27,038062_-0.28787878787878785.png,-0.28787878787878785,0
99,069574_0.3080808080808082.png,0.3080808080808082,1
18,047685_-0.5.png,-0.5,0
6,028632_0.31818181818181823.png,0.31818181818181823,0
19,094401_-0.20707070707070707.png,-0.20707070707070707,0
91,092972_0.21717171717171724.png,0.21717171717171724,1
50,065726_0.2575757575757577.png,0.2575757575757577,0
62,147787_-0.16666666666666663.png,-0.16666666666666663,0
84,037153_0.09595959595959602.png,0.09595959595959602,1
22,062124_-0.25757575757575757.png,-0.25757575757575757,0
60,087975_-0.29797979797979796.png,-0.29797979797979796,0
53,119128_0.36868686868686873.png,0.36868686868686873,0
77,054707_0.45959595959595967.png,0.45959595959595967,0
39,167751_-0.3686868686868687.png,-0.3686868686868687,0
74,181258_-0.11616161616161613.png,-0.11616161616161613,0
37,112709_0.28787878787878796.png,0.28787878787878796,0
82,153739_0.3585858585858587.png,0.3585858585858587,1
88,142628_-0.30808080808080807.png,-0.30808080808080807,1
0,142628_-0.30808080808080807.png,-0.30808080808080807,0
73,030112_0.48989898989898994.png,0.48989898989898994,0
48,163069_-0.3282828282828283.png,-0.3282828282828283,0
43,080303_0.33838383838383845.png,0.33838383838383845,0
15,177574_0.13636363636363646.png,0.13636363636363646,0
94,081495_-0.17676767676767674.png,-0.17676767676767674,1
16,083159_-0.4696969696969697.png,-0.4696969696969697,0
20,132296_-0.1464646464646464.png,-0.1464646464646464,0
85,181258_-0.11616161616161613.png,-0.11616161616161613,1
44,059261_0.15656565656565657.png,0.15656565656565657,0
30,072205_0.4696969696969697.png,0.4696969696969697,0
