,Id,trial,rt,trial_type,internal_node_id,time_elapsed,trial_index,responses,view_history,prompt,required,labels,options,horizontal
0,debugC9Q0J2:debugRW0BVN,1540317457046,3138,instructions,0.0-0.0,3141,0,,"[{""page_index"":0,""viewing_time"":3138}]",,,,,
1,debugC9Q0J2:debugRW0BVN,1540317468282,11233,face-prisdil-continuous,0.0-1.0,14378,1,"{""slider_value"":""62""}",,"You can see the other person&#8217;s picture, but they cannot see yours. SPECIFY QUESTION HERE:",True,,"['Play A', 'Play B']",False
2,debugC9Q0J2:debugRW0BVN,1540317473819,5534,face-multi-choice,0.0-2.0,19915,2,"{""Q0"":""Play A""}",,Would you:,True,,"['Play A', 'Play B']",False
3,debugC9Q0J2:debugRW0BVN,1540317476192,2370,face-likert,0.0-3.0,22288,3,"{""Q0"":8}",,How willing or unwilling do you think this person is to take risks?,True,"['0 (Completely unwilling to take risks)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to take risks)']",,
4,debugC9Q0J2:debugRW0BVN,1540317482323,6131,face-likert,0.0-4.0,28419,4,"{""Q0"":7}",,How willing do you think this person is to give up something that is beneficial for them today in order to benefit more in the future?,True,"['0 (Completely unwilling to do so)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to do so)']",,
5,debugC9Q0J2:debugRW0BVN,1540317485700,3376,face-likert,0.0-5.0,31796,5,"{""Q0"":2}",,How willing do you think this person is to give to good causes without expecting anything in return?,True,"['0 (Completely unwilling to do so)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to do so)']",,
6,debugC9Q0J2:debugRW0BVN,1540317487774,2073,face-likert,0.0-6.0,33870,6,"{""Q0"":7}",,<i>Please tell us how well you think the following statement describes this person:</i> they assume that people have only the best intentions.,True,"['0 (Does not describe them at all)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Describes them perfectly)']",,
7,debugC9Q0J2:debugRW0BVN,1540317490406,2630,face-likert,0.0-7.0,36502,7,"{""Q0"":7}",,"How willing do you think this person is to punish someone who treats <b>them</b> unfairly, even if there may be costs to themselves?",True,"['0 (Completely unwilling to do so)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to do so)']",,
8,debugC9Q0J2:debugRW0BVN,1540317493621,3215,face-likert,0.0-8.0,39717,8,"{""Q0"":8}",,<i>Please tell us how well you think the following statement describes this person:</i> when someone does them a favor they are willing to return it.,True,"['0 (Does not describe them at all)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Describes them perfectly)']",,
9,debugC9Q0J2:debugRW0BVN,1540317498584,4961,face-likert,0.0-9.0,44680,9,"{""Q0"":6}",,"How attractive (i.e., appealing to the senses through beauty, form, character, etc) is this person?",True,"['1 (not at all)', '2', '3', '4', '5', '6', '7', '8', '9 (very)']",,
10,debugC9Q0J2:debugRW0BVN,1540317538020,39433,face-prisdil-continuous,0.0-10.0,84116,10,"{""slider_value"":""63""}",,"You can see the other person&#8217;s picture, but they cannot see yours. SPECIFY QUESTION HERE:",True,,"['Play A', 'Play B']",False
11,debugC9Q0J2:debugRW0BVN,1540317543024,5002,face-multi-choice,0.0-11.0,89120,11,"{""Q0"":""Play A""}",,Would you:,True,,"['Play A', 'Play B']",False
12,debugC9Q0J2:debugRW0BVN,1540317547823,4796,face-likert,0.0-12.0,93919,12,"{""Q0"":7}",,How willing or unwilling do you think this person is to take risks?,True,"['0 (Completely unwilling to take risks)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to take risks)']",,
13,debugC9Q0J2:debugRW0BVN,1540317554950,7127,face-likert,0.0-13.0,101046,13,"{""Q0"":3}",,How willing do you think this person is to give up something that is beneficial for them today in order to benefit more in the future?,True,"['0 (Completely unwilling to do so)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to do so)']",,
14,debugC9Q0J2:debugRW0BVN,1540317560847,5895,face-likert,0.0-14.0,106943,14,"{""Q0"":8}",,How willing do you think this person is to give to good causes without expecting anything in return?,True,"['0 (Completely unwilling to do so)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to do so)']",,
15,debugC9Q0J2:debugRW0BVN,1540317566126,5277,face-likert,0.0-15.0,112222,15,"{""Q0"":8}",,<i>Please tell us how well you think the following statement describes this person:</i> they assume that people have only the best intentions.,True,"['0 (Does not describe them at all)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Describes them perfectly)']",,
16,debugC9Q0J2:debugRW0BVN,1540317570348,4221,face-likert,0.0-16.0,116444,16,"{""Q0"":8}",,"How willing do you think this person is to punish someone who treats <b>them</b> unfairly, even if there may be costs to themselves?",True,"['0 (Completely unwilling to do so)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Very willing to do so)']",,
17,debugC9Q0J2:debugRW0BVN,1540317582279,11928,face-likert,0.0-17.0,128375,17,"{""Q0"":7}",,<i>Please tell us how well you think the following statement describes this person:</i> when someone does them a favor they are willing to return it.,True,"['0 (Does not describe them at all)', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10 (Describes them perfectly)']",,
18,debugC9Q0J2:debugRW0BVN,1540317586348,4069,face-likert,0.0-18.0,132444,18,"{""Q0"":6}",,"How attractive (i.e., appealing to the senses through beauty, form, character, etc) is this person?",True,"['1 (not at all)', '2', '3', '4', '5', '6', '7', '8', '9 (very)']",,
